2017-05-02 13:20:32,334 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2017-05-02 13:20:32,342 [main] INFO  marytts.JTokeniser Starting power-on self test.
2017-05-02 13:20:32,342 [main] INFO  marytts.JTokeniser Power-on self test complete.
2017-05-02 13:20:32,342 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2017-05-02 13:20:32,342 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2017-05-02 13:20:32,342 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2017-05-02 13:20:32,344 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2017-05-02 13:20:32,344 [main] INFO  marytts.Prosody Starting power-on self test.
2017-05-02 13:20:32,344 [main] INFO  marytts.Prosody Power-on self test complete.
2017-05-02 13:20:32,344 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2017-05-02 13:20:32,344 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2017-05-02 13:20:32,344 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2017-05-02 13:20:32,344 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2017-05-02 13:20:32,344 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2017-05-02 13:20:32,344 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2017-05-02 13:20:32,344 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2017-05-02 13:20:32,344 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2017-05-02 13:20:32,344 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2017-05-02 13:20:32,344 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2017-05-02 13:20:32,344 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2017-05-02 13:20:32,344 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2017-05-02 13:20:32,344 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2017-05-02 13:20:32,345 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2017-05-02 13:20:32,345 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2017-05-02 13:20:32,345 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2017-05-02 13:20:32,345 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2017-05-02 13:20:32,345 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2017-05-02 13:20:32,345 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2017-05-02 13:20:32,345 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
